orth2333: Afra|m.10026 Aobl|m.12854 Asus|M.10026_R0 Bcor|m.49852 Bcur|XP_011176775.1 Bdor|XP_011207020.1 Bjar|m.26921 Blat|m.41225 Bmin|m.16652 Bole|XP_014097011.1 Btry|M.41225_R0 Bzon|m.21935 Ccap|XP_004523616.1
orth7095: Afra|m.41513 Asus|M.41513_R0 Bcor|m.3939 Bcur|XP_011190812.1 Bdor|XP_011202152.1 Bjar|m.3599 Blat|m.40335 Bmin|m.7857 Bole|XP_014093825.1 Bzon|m.7529 Ccap|XP_004526446.1
orth7096: Afra|m.41543 Bcor|m.4804 Bcur|XP_011196171.1 Bdor|XP_011201650.1 Bjar|m.5404 Blat|m.59565 Bmin|m.5885 Bole|XP_014094304.1 Btry|M.59565_R0 Bzon|m.730 Ccap|XP_004525577.1
orth7097: Afra|m.41550 Asus|M.41550_R0 Bcor|m.39630 Bcur|XP_011186306.1 Bdor|XP_011212828.1 Bjar|m.8440 Blat|m.14121 Bole|XP_014095147.1 Btry|M.14121_R0 Bzon|m.22307 Ccap|XP_004524520.1
orth7098: Afra|m.41570 Asus|M.41569_R0 Bcor|m.26512 Bcur|XP_011182809.1 Bdor|XP_011200828.1 Blat|m.56451 Bmin|m.11921 Bole|XP_014103020.1 Btry|M.56451_R0 Bzon|m.48163 Ccap|XP_004525711.1
orth7099: Afra|m.41586 Asus|M.41586_R0 Bcor|m.7751 Bcur|XP_011189008.1 Bdor|XP_011204649.1 Blat|m.20722 Bmin|m.18467 Bole|XP_014096738.1 Btry|M.20722_R0 Bzon|m.34216 Ccap|XP_004519057.1
orth7100: Afra|m.41644 Asus|M.41644_R0 Bcor|m.13651 Bcur|XP_011194967.1 Bdor|XP_011202943.1 Bjar|m.4225 Blat|m.42661 Bole|XP_014099866.1 Btry|M.42661_R0 Bzon|m.23655 Ccap|XP_004524320.1
orth7101: Afra|m.41653 Aobl|m.23391 Asus|M.41653_R0 Bcor|m.46673 Bcur|XP_011187353.1 Bdor|XP_011213646.1 Blat|m.60375 Bole|XP_014089617.1 Btry|M.60375_R0 Bzon|m.55627 Ccap|XP_004524674.1
orth7102: Afra|m.41669 Aobl|m.2438 Bcor|m.14118 Bcur|XP_011180707.1 Bdor|XP_011200885.1 Blat|m.457 Bmin|m.12507 Bole|XP_014099098.1 Bzon|m.12886 Ccap|XP_004519930.1 Btry|M.457_R0
orth7103: Afra|m.41710 Aobl|m.23917 Asus|M.41710_R0 Bcor|m.36167 Bcur|XP_011180135.1 Bdor|XP_011203964.1 Blat|m.62400 Bole|XP_014085285.1 Btry|M.62400_R0 Bzon|m.39428 Ccap|XP_012155940.1
orth7104: Afra|m.41712 Aobl|m.12520 Asus|M.41712_R0 Bcor|m.19486 Bcur|XP_011185074.1 Bdor|XP_011200427.1 Blat|m.45895 Bole|XP_014088390.1 Btry|M.45895_R0 Bzon|m.39995 Ccap|XP_004535127.1
orth7105: Afra|m.41727 Asus|M.41727_R0 Bcor|m.20744 Bcur|XP_011197079.1 Bdor|XP_011210294.1 Bjar|m.6005 Blat|m.3073 Bole|XP_014088739.1 Btry|M.3073_R0 Bzon|m.35126 Ccap|XP_004536958.1
orth7106: Afra|m.41751 Asus|M.41751_R0 Bcor|m.28324 Bcur|XP_011179856.1 Bdor|XP_011205155.1 Blat|m.56603 Bmin|m.4519 Bole|XP_014097556.1 Btry|M.56603_R0 Bzon|m.28480 Ccap|XP_004520147.1
orth7107: Afra|m.41759 Aobl|m.1246 Asus|M.41759_R0 Bcor|m.8465 Bcur|XP_011188803.1 Bdor|XP_011198486.1 Bole|XP_014093888.1 Btry|M.15822_R0 Ccap|XP_012159720.1 Blat|m.15825 Bmin|m.1991
orth7108: Afra|m.41783 Aobl|m.7375 Asus|M.41783_R0 Bcor|m.5951 Bcur|XP_011193694.1 Bdor|XP_011209300.1 Blat|m.1339 Bole|XP_014099655.1 Btry|M.1339_R0 Bzon|m.35376 Ccap|XP_004518377.2
orth7109: Afra|m.41802 Asus|M.41802_R0 Bcor|m.1553 Bcur|XP_011192215.1 Bdor|XP_011204118.1 Blat|m.51465 Bmin|m.17074 Bole|XP_014086238.1 Btry|M.51465_R0 Bzon|m.16848 Ccap|XP_004521304.1
orth7110: Afra|m.41848 Asus|M.41848_R0 Bcor|m.4950 Bcur|XP_011184326.1 Bdor|XP_011202633.1 Blat|m.6449 Bmin|m.15323 Bole|XP_014095802.1 Btry|M.6449_R0 Bzon|m.10243 Ccap|XP_004530668.1
orth7112: Afra|m.41962 Aobl|m.3664 Asus|M.41962_R0 Bcor|m.45701 Bcur|XP_011187275.1 Bdor|XP_011213866.1 Blat|m.32366 Bole|XP_014090163.1 Btry|M.32366_R0 Bzon|m.18947 Ccap|XP_004525048.1
orth7113: Afra|m.41964 Aobl|m.14208 Asus|M.41964_R0 Bcor|m.13243 Bcur|XP_011193877.1 Bdor|XP_011202783.1 Blat|m.13878 Bole|XP_014086788.1 Btry|M.13878_R0 Bzon|m.50942 Ccap|XP_004523145.1
orth7114: Afra|m.41965 Aobl|m.14015 Bcor|m.43808 Bcur|XP_011192957.1 Bdor|XP_011208762.1 Bjar|m.8342 Blat|m.63836 Bmin|m.3665 Bole|XP_014096018.1 Bzon|m.9256 Ccap|XP_004537582.1
orth7115: Afra|m.42009 Aobl|m.18146 Asus|M.42009_R0 Bcor|m.19676 Bcur|XP_011181325.1 Bdor|XP_011214174.1 Blat|m.14268 Bole|XP_014088324.1 Btry|M.14268_R0 Bzon|m.33360 Ccap|XP_004526214.1
orth7116: Afra|m.4201 Asus|M.4201_R0 Bcor|m.27536 Bcur|XP_011179084.1 Bdor|XP_011211114.1 Blat|m.20008 Bmin|m.5135 Bole|XP_014103375.1 Btry|M.20008_R0 Bzon|m.32977 Ccap|XP_004519811.1
orth7117: Afra|m.42016 Asus|M.42016_R0 Bcor|m.48768 Bcur|XP_011188119.1 Bdor|XP_011202936.1 Blat|m.34929 Bmin|m.9509 Bole|XP_014098175.1 Btry|M.34929_R0 Bzon|m.47630 Ccap|XP_004518695.1
orth7118: Afra|m.42026 Asus|M.42021_R0 Bcor|m.31020 Bcur|XP_011180982.1 Bdor|XP_011205278.1 Blat|m.27146 Bmin|m.22069 Bole|XP_014098099.1 Btry|M.27146_R0 Bzon|m.14296 Ccap|XP_012160182.1
orth7119: Afra|m.42030 Asus|M.42030_R0 Bcor|m.43663 Bcur|XP_011189867.1 Bdor|XP_011199877.1 Bjar|m.27552 Blat|m.20370 Bole|XP_014089459.1 Btry|M.20365_R0 Bzon|m.19241 Ccap|XP_004521544.1
orth7120: Afra|m.42048 Asus|M.42048_R0 Bcor|m.28559 Bcur|XP_011182581.1 Bdor|XP_011202693.1 Blat|m.12153 Bmin|m.9567 Bole|XP_014092417.1 Btry|M.12153_R0 Bzon|m.52773 Ccap|XP_004534137.1
orth7121: Afra|m.42050 Aobl|m.13111 Asus|M.42050_R0 Bcor|m.8891 Bcur|XP_011186047.1 Bdor|XP_011212552.1 Blat|m.4990 Bole|XP_014091623.1 Btry|M.4990_R0 Bzon|m.16683 Ccap|XP_004523389.1
orth7123: Afra|m.42055 Asus|M.42055_R0 Bcor|m.678 Bcur|XP_011191445.1 Bdor|XP_011197682.1 Blat|m.63220 Bmin|m.15259 Bole|XP_014102597.1 Btry|M.63220_R0 Bzon|m.6079 Ccap|XP_004535498.1
orth7124: Afra|m.42059 Aobl|m.19865 Bcor|m.35463 Bcur|XP_011188952.1 Bdor|XP_011212103.1 Bjar|m.22459 Blat|m.42626 Bole|XP_014091795.1 Btry|M.42626_R0 Bzon|m.32114 Ccap|XP_004530503.1
orth7125: Afra|m.42076 Aobl|m.12720 Asus|M.42076_R0 Bcor|m.22484 Bcur|XP_011176833.1 Bdor|XP_011211904.1 Blat|m.30158 Bole|XP_014093159.1 Btry|M.30158_R0 Bzon|m.42634 Ccap|XP_012156225.1
orth7126: Afra|m.42081 Bcor|m.23472 Bcur|XP_011195560.1 Bdor|XP_011205865.1 Bjar|m.26997 Blat|m.54160 Bmin|m.16687 Bole|XP_014103061.1 Btry|M.54160_R0 Bzon|m.16262 Ccap|XP_004527021.1
orth7127: Afra|m.42084 Asus|M.42084_R0 Bcor|m.22229 Bcur|XP_011192202.1 Bdor|XP_011214714.1 Bjar|m.12008 Blat|m.40643 Bole|XP_014094194.1 Btry|M.40643_R0 Bzon|m.13709 Ccap|XP_004531235.1
orth7128: Afra|m.42133 Aobl|m.20563 Bcor|m.13135 Bcur|XP_011190444.1 Bdor|XP_011203555.1 Bjar|m.8644 Blat|m.15606 Bole|XP_014092611.1 Btry|M.15606_R0 Bzon|m.49841 Ccap|XP_004529385.1
orth7130: Afra|m.42155 Aobl|m.2270 Asus|M.42155_R0 Bcor|m.39182 Bcur|XP_011193920.1 Bdor|XP_011197555.1 Blat|m.62857 Bole|XP_014103282.1 Btry|M.62857_R0 Bzon|m.21914 Ccap|XP_004537800.2
orth7131: Afra|m.42197 Asus|M.42190_R0 Bcor|m.25757 Bcur|XP_011196357.1 Bdor|XP_011202188.1 Blat|m.47018 Bmin|m.11267 Bole|XP_014090885.1 Bzon|m.11052 Ccap|XP_012157827.1 Btry|M.47018_R0
orth7132: Afra|m.42215 Aobl|m.20067 Bcor|m.11866 Bcur|XP_011191198.1 Bdor|XP_011213516.1 Bjar|m.27575 Blat|m.63369 Bmin|m.6604 Bole|XP_014096320.1 Bzon|m.11329 Ccap|XP_012155749.1
orth7133: Afra|m.42218 Aobl|m.22647 Asus|M.42218_R0 Bcor|m.19671 Bcur|XP_011180718.1 Bdor|XP_011211069.1 Blat|m.29518 Bole|XP_014098741.1 Btry|M.29518_R0 Bzon|m.47715 Ccap|XP_004519936.1
orth7134: Afra|m.4222 Aobl|m.8110 Asus|M.4222_R0 Bcor|m.16337 Bcur|XP_011180390.1 Bdor|XP_011214540.1 Blat|m.64368 Bole|XP_014093871.1 Btry|M.64368_R0 Bzon|m.2473 Ccap|XP_004531348.1
orth7135: Afra|m.4224 Asus|M.4223_R0 Bcor|m.41577 Bcur|XP_011188918.1 Bdor|XP_011212129.1 Blat|m.14205 Bmin|m.4551 Bole|XP_014094059.1 Btry|M.14205_R0 Bzon|m.53912 Ccap|XP_004530533.1
orth7136: Afra|m.42277 Aobl|m.23908 Asus|M.42272_R0 Bcor|m.34349 Bcur|XP_011183512.1 Bdor|XP_011199100.1 Blat|m.56624 Bole|XP_014099148.1 Btry|M.56624_R0 Bzon|m.13304 Ccap|XP_004533294.1
orth7137: Afra|m.4229 Aobl|m.4037 Asus|M.4229_R0 Bcor|m.40232 Bcur|XP_011182480.1 Bdor|XP_011203645.1 Blat|m.57130 Bmin|m.4302 Bole|XP_014097453.1 Btry|M.57130_R0 Ccap|XP_004533413.1
orth7138: Afra|m.4230 Aobl|m.21748 Asus|M.4230_R0 Bcor|m.47116 Bcur|XP_011179327.1 Bdor|XP_011210163.1 Blat|m.21362 Bole|XP_014092558.1 Btry|M.21362_R0 Bzon|m.41065 Ccap|XP_012156319.1
orth7139: Afra|m.42314 Asus|M.42314_R0 Bcor|m.38599 Bcur|XP_011178896.1 Bdor|XP_011198150.1 Bjar|m.5809 Blat|m.56556 Bole|XP_014092332.1 Btry|M.56556_R0 Bzon|m.10610 Ccap|XP_004529615.1
orth7140: Afra|m.4236 Asus|M.4236_R0 Bcor|m.50407 Bcur|XP_011185302.1 Bdor|XP_011210482.1 Blat|m.27663 Bmin|m.323 Bole|XP_014098563.1 Btry|M.27663_R0 Bzon|m.15754 Ccap|XP_004521225.1
orth7141: Afra|m.42370 Bcor|m.17510 Bcur|XP_011177320.1 Bdor|XP_011208490.1 Bjar|m.5519 Blat|m.42135 Bmin|m.3306 Bole|XP_014087764.1 Btry|M.42135_R0 Bzon|m.8564 Ccap|XP_004529651.1
orth7143: Afra|m.42410 Aobl|m.16809 Asus|M.42410_R0 Bcor|m.36468 Bcur|XP_011196995.1 Bdor|XP_011208075.1 Blat|m.16943 Bole|XP_014089255.1 Btry|M.16943_R0 Bzon|m.39963 Ccap|XP_004522314.1
orth7144: Afra|m.42415 Aobl|m.7612 Asus|M.42415_R0 Bcor|m.31460 Bcur|XP_011186987.1 Bdor|XP_011199387.1 Blat|m.62549 Bole|XP_014099975.1 Btry|M.62549_R0 Bzon|m.52863 Ccap|XP_004535881.1
orth7145: Afra|m.42460 Asus|M.42460_R0 Bcor|m.42684 Bcur|XP_011177747.1 Bdor|XP_011214743.1 Blat|m.44181 Bmin|m.14064 Bole|XP_014098151.1 Btry|M.44181_R0 Bzon|m.14228 Ccap|XP_012159534.1
orth7146: Afra|m.42474 Asus|M.42474_R0 Bcor|m.1826 Bcur|XP_011184128.1 Bdor|XP_011199171.1 Blat|m.38012 Bmin|m.5720 Bole|XP_014094601.1 Btry|M.38012_R0 Bzon|m.34447 Ccap|XP_004517977.1
orth7147: Afra|m.42498 Asus|M.42498_R0 Bcor|m.51442 Bcur|XP_011196084.1 Bdor|XP_011199237.1 Blat|m.11593 Bole|XP_014099604.1 Btry|M.11593_R0 Bzon|m.25620 Ccap|XP_004525521.1 Bmin|m.25883
orth7148: Afra|m.42510 Aobl|m.17333 Asus|M.42510_R0 Bcor|m.2585 Bcur|XP_011179413.1 Bdor|XP_011206560.1 Blat|m.5456 Bole|XP_014102064.1 Btry|M.5456_R0 Bzon|m.30519 Ccap|XP_012155193.1
orth7149: Afra|m.42516 Asus|M.42516_R0 Bcor|m.29162 Bcur|XP_011186807.1 Bdor|XP_011197756.1 Blat|m.51365 Bmin|m.11905 Bole|XP_014089456.1 Btry|M.51365_R0 Bzon|m.48954 Ccap|XP_004520287.1
orth7150: Afra|m.42531 Asus|M.42531_R0 Bcor|m.34621 Bcur|XP_011189490.1 Bdor|XP_011205612.1 Bjar|m.16299 Blat|m.24264 Bole|XP_014099810.1 Btry|M.24264_R0 Bzon|m.9936 Ccap|XP_004531272.1
orth7151: Afra|m.42535 Asus|M.42535_R0 Bcor|m.10658 Bcur|XP_011182024.1 Bdor|XP_011198684.1 Blat|m.30132 Bmin|m.5644 Bole|XP_014092044.1 Btry|M.30132_R0 Bzon|m.54408 Ccap|XP_004536507.2
orth7152: Afra|m.42550 Aobl|m.13061 Asus|M.42550_R0 Bcor|m.33005 Bcur|XP_011179860.1 Bdor|XP_011205151.1 Blat|m.21397 Bole|XP_014097557.1 Btry|M.21395_R0 Bzon|m.39847 Ccap|XP_004520061.1
orth7153: Afra|m.42571 Aobl|m.12782 Asus|M.42571_R0 Bcor|m.32226 Bcur|XP_011192934.1 Bdor|XP_011211482.1 Blat|m.52320 Bole|XP_014085812.1 Btry|M.52320_R0 Bzon|m.52584 Ccap|XP_012160512.1
orth7154: Afra|m.42579 Asus|M.42579_R0 Bcor|m.2567 Bcur|XP_011190502.1 Bdor|XP_011214215.1 Bjar|m.13972 Blat|m.422 Bole|XP_014103117.1 Btry|M.422_R0 Bzon|m.24906 Ccap|XP_004518563.1
orth7155: Afra|m.42649 Asus|M.42649_R0 Bcor|m.40436 Bcur|XP_011195759.1 Bdor|XP_011201783.1 Blat|m.31462 Bmin|m.23093 Bole|XP_014091347.1 Btry|M.31462_R0 Bzon|m.4325 Ccap|XP_004526963.1
orth7156: Afra|m.42655 Asus|M.42655_R0 Bcor|m.7584 Bcur|XP_011195123.1 Bdor|XP_011206481.1 Bjar|m.2389 Blat|m.17012 Bole|XP_014099020.1 Btry|M.17011_R0 Bzon|m.37009 Ccap|XP_004519359.1
orth7158: Afra|m.4272 Asus|M.4272_R0 Bcor|m.40190 Bcur|XP_011195238.1 Bdor|XP_011198336.1 Bjar|m.18261 Blat|m.17071 Bole|XP_014103741.1 Btry|M.17071_R0 Bzon|m.23378 Ccap|XP_004537761.1
orth7159: Afra|m.42731 Asus|M.42731_R0 Bcor|m.5172 Bcur|XP_011180301.1 Bdor|XP_011199002.1 Blat|m.56315 Bmin|m.9632 Bole|XP_014087404.1 Btry|M.56314_R0 Bzon|m.41908 Ccap|XP_012159747.1
orth7161: Afra|m.42806 Aobl|m.13953 Asus|M.42806_R0 Bcor|m.36363 Bcur|XP_011194361.1 Bdor|XP_011213298.1 Blat|m.19910 Bole|XP_014093564.1 Btry|M.19910_R0 Bzon|m.37064 Ccap|XP_004520686.1
orth7162: Afra|m.42830 Aobl|m.21360 Asus|M.42830_R0 Bcor|m.42160 Bcur|XP_011179196.1 Bdor|XP_011203054.1 Bmin|m.5193 Bole|XP_014103424.1 Btry|M.5561_R0 Bzon|m.26561 Ccap|XP_004535637.1
orth7163: Afra|m.42870 Asus|M.42870_R0 Bcor|m.8336 Bcur|XP_011195445.1 Bdor|XP_011197584.1 Blat|m.47000 Bmin|m.8442 Bole|XP_014094074.1 Btry|M.47000_R0 Bzon|m.9434 Ccap|XP_004524170.1
orth7164: Afra|m.42871 Asus|M.42871_R0 Bcor|m.43804 Bcur|XP_011187723.1 Bdor|XP_011204817.1 Blat|m.36178 Bmin|m.3739 Bole|XP_014092246.1 Btry|M.36178_R0 Bzon|m.46610 Ccap|XP_004525856.1
orth7165: Afra|m.42885 Asus|M.42885_R0 Bcor|m.8064 Bcur|XP_011178679.1 Bdor|XP_011210005.1 Blat|m.35425 Bmin|m.15413 Bole|XP_014096913.1 Btry|M.35426_R0 Bzon|m.50503 Ccap|XP_004533368.1
orth7167: Afra|m.4293 Asus|M.4293_R0 Bcor|m.49244 Bcur|XP_011186507.1 Bdor|XP_011214403.1 Blat|m.64681 Bmin|m.3215 Bole|XP_014087555.1 Btry|M.64681_R0 Bzon|m.14650 Ccap|XP_012161045.1
orth7168: Afra|m.42946 Asus|M.42946_R0 Bcor|m.48437 Bcur|XP_011183058.1 Bdor|XP_011203697.1 Bjar|m.13773 Blat|m.42305 Bole|XP_014094396.1 Btry|M.42305_R0 Bzon|m.1790 Ccap|XP_004526825.1
orth7169: Afra|m.42957 Aobl|m.9995 Asus|M.42957_R0 Bcor|m.33833 Bcur|XP_011189763.1 Bdor|XP_011200897.1 Blat|m.14334 Bole|XP_014094274.1 Btry|M.14334_R0 Bzon|m.52266 Ccap|XP_004536875.1
orth7171: Afra|m.4299 Aobl|m.9249 Asus|M.4299_R0 Bcor|m.37526 Bcur|XP_011189997.1 Bdor|XP_011213251.1 Blat|m.34652 Bmin|m.11188 Bole|XP_014090943.1 Btry|M.34652_R0 Ccap|XP_004523021.1
orth7172: Afra|m.4301 Aobl|m.6459 Asus|M.4301_R0 Bcor|m.52281 Bcur|XP_011191662.1 Bdor|XP_011212472.1 Blat|m.12007 Bole|XP_014090557.1 Btry|M.12007_R0 Bzon|m.28307 Ccap|XP_004523444.1
orth7174: Afra|m.4307 Asus|M.4307_R0 Bcor|m.16255 Bcur|XP_011184014.1 Bdor|XP_011203794.1 Blat|m.3593 Bmin|m.9774 Bole|XP_014092456.1 Btry|M.3593_R0 Bzon|m.23977 Ccap|XP_004519727.1
orth7175: Afra|m.43073 Bcor|m.29763 Bcur|XP_011191936.1 Bdor|XP_011210655.1 Bjar|m.27948 Blat|m.8335 Bmin|m.7923 Bole|XP_014086915.1 Btry|M.8335_R0 Bzon|m.26074 Ccap|XP_004521809.1
orth7177: Afra|m.43081 Asus|M.43081_R0 Bcor|m.15053 Bcur|XP_011187380.1 Bdor|XP_011200778.1 Blat|m.45906 Bmin|m.24945 Bole|XP_014089611.1 Btry|M.45906_R0 Bzon|m.26910 Ccap|XP_004524659.1
orth7178: Afra|m.4309 Aobl|m.6404 Asus|M.4309_R0 Bcor|m.28412 Bcur|XP_011194330.1 Bdor|XP_011201454.1 Blat|m.55226 Bmin|m.7529 Bole|XP_014098214.1 Bzon|m.10078 Ccap|XP_004519353.1
orth7179: Afra|m.43140 Aobl|m.8505 Asus|M.43134_R0 Bcor|m.39370 Bcur|XP_011176433.1 Bdor|XP_011208063.1 Blat|m.32937 Bole|XP_014089324.1 Btry|M.32937_R0 Bzon|m.51596 Ccap|XP_004522298.1
orth7180: Afra|m.43143 Asus|M.43143_R0 Bcor|m.40460 Bcur|XP_011184587.1 Bdor|XP_011206145.1 Blat|m.26886 Bmin|m.1204 Bole|XP_014090301.1 Btry|M.26886_R0 Bzon|m.7039 Ccap|XP_012160769.1
orth7181: Afra|m.43184 Asus|M.43184_R0 Bcor|m.16736 Bcur|XP_011187861.1 Bdor|XP_011198935.1 Bjar|m.28714 Blat|m.56673 Bmin|m.7962 Bole|XP_014102425.1 Bzon|m.40756 Ccap|XP_012156431.1
orth7182: Afra|m.43227 Aobl|m.2794 Asus|M.43227_R0 Bcor|m.20857 Bcur|XP_011177977.1 Bdor|XP_011203322.1 Blat|m.57305 Bole|XP_014102852.1 Btry|M.57305_R0 Bzon|m.10569 Ccap|XP_004520729.1
orth7183: Afra|m.43232 Asus|M.43232_R0 Bcor|m.39874 Bcur|XP_011192585.1 Bdor|XP_011207594.1 Bjar|m.13534 Blat|m.31963 Bole|XP_014095734.1 Btry|M.31963_R0 Bzon|m.37100 Ccap|XP_012157517.1
orth7184: Afra|m.43252 Asus|M.43252_R0 Bcor|m.25463 Bcur|XP_011181080.1 Bdor|XP_011205355.1 Blat|m.780 Bmin|m.4474 Bole|XP_014094705.1 Btry|M.780_R0 Bzon|m.49676 Ccap|XP_004533670.1
orth7185: Afra|m.43262 Aobl|m.14102 Asus|M.43262_R0 Bcor|m.17449 Bcur|XP_011190181.1 Bdor|XP_011197170.1 Blat|m.41774 Bole|XP_014088472.1 Btry|M.41774_R0 Bzon|m.53905 Ccap|XP_004521515.1
orth7186: Afra|m.43263 Bcor|m.40480 Bcur|XP_011191273.1 Bdor|XP_011199348.1 Bjar|m.15456 Blat|m.2835 Bmin|m.6915 Bole|XP_014085459.1 Btry|M.2835_R0 Bzon|m.23899 Ccap|XP_012162691.1
orth7187: Afra|m.43285 Asus|M.43285_R0 Bcor|m.31473 Bcur|XP_011184051.1 Bdor|XP_011203819.1 Bjar|m.11088 Blat|m.25285 Bole|XP_014091363.1 Bzon|m.26932 Ccap|XP_004519768.1 Aobl|m.5729
orth7188: Afra|m.43287 Aobl|m.805 Asus|M.43287_R0 Bcor|m.22683 Bcur|XP_011182722.1 Bdor|XP_011214443.1 Blat|m.47374 Bole|XP_014102633.1 Btry|M.47374_R0 Bzon|m.48664 Ccap|XP_012162491.1
orth7189: Afra|m.43329 Bcor|m.42767 Bcur|XP_011178835.1 Bdor|XP_011201110.1 Bjar|m.3425 Blat|m.40551 Bmin|m.11930 Bole|XP_014088560.1 Btry|M.40551_R0 Bzon|m.12951 Ccap|XP_004533758.1
orth7192: Afra|m.43395 Aobl|m.20614 Asus|M.43395_R0 Bcor|m.21304 Bcur|XP_011191379.1 Bdor|XP_011214805.1 Blat|m.15390 Bole|XP_014085438.1 Btry|M.15391_R0 Bzon|m.6655 Ccap|XP_004524942.1
orth7193: Afra|m.4340 Aobl|m.10486 Asus|M.4340_R0 Bcor|m.43151 Bcur|XP_011179732.1 Bdor|XP_011201384.1 Blat|m.15006 Bole|XP_014088783.1 Btry|M.15006_R0 Bzon|m.16556 Ccap|XP_004525322.1
orth7194: Afra|m.4341 Asus|M.4341_R0 Bcor|m.41813 Bcur|XP_011187676.1 Bdor|XP_011198234.1 Blat|m.41826 Bmin|m.618 Bole|XP_014098708.1 Btry|M.41826_R0 Bzon|m.53671 Ccap|XP_012162851.1
orth7195: Afra|m.4342 Aobl|m.9433 Asus|M.4342_R0 Bcor|m.20430 Bcur|XP_011187583.1 Bdor|XP_011202516.1 Blat|m.64713 Bole|XP_014099788.1 Btry|M.64713_R0 Bzon|m.42204 Ccap|XP_004536725.1
orth7196: Afra|m.43430 Aobl|m.5146 Asus|M.9732_R0 Bcor|m.41119 Bcur|XP_011178982.1 Blat|m.58488 Bmin|m.20458 Bole|XP_014088429.1 Bzon|m.11947 Ccap|XP_004522429.1 Bdor|XP_011200308.1
orth7197: Afra|m.43433 Aobl|m.17118 Bcor|m.36868 Bcur|XP_011177518.1 Bdor|XP_011207101.1 Bjar|m.17758 Blat|m.55897 Bmin|m.6136 Bole|XP_014085604.1 Bzon|m.44149 Ccap|XP_012158728.1
orth7198: Afra|m.43441 Asus|M.43443_R0 Bcor|m.35745 Bcur|XP_011193607.1 Bdor|XP_011201679.1 Bjar|m.24029 Blat|m.8900 Bole|XP_014100422.1 Btry|M.8900_R0 Bzon|m.42405 Ccap|XP_012157925.1
orth7199: Afra|m.43460 Aobl|m.11034 Asus|M.43460_R0 Bcor|m.20714 Bcur|XP_011192181.1 Bdor|XP_011204128.1 Blat|m.40532 Bole|XP_014086181.1 Btry|M.40532_R0 Bzon|m.14203 Ccap|XP_004521309.1
orth7200: Afra|m.43481 Asus|M.43481_R0 Bcor|m.38645 Bcur|XP_011196939.1 Bdor|XP_011208290.1 Blat|m.7019 Bmin|m.6823 Bole|XP_014087862.1 Btry|M.7014_R0 Bzon|m.14127 Ccap|XP_004536973.1
orth7201: Afra|m.43484 Asus|M.43484_R0 Bcor|m.46690 Bcur|XP_011193692.1 Bdor|XP_011209303.1 Blat|m.56288 Bmin|m.9540 Bole|XP_014099650.1 Btry|M.56288_R0 Bzon|m.41405 Ccap|XP_004518375.1
orth7202: Afra|m.43521 Asus|M.43521_R0 Bcor|m.26260 Bcur|XP_011180285.1 Bdor|XP_011199024.1 Blat|m.56425 Bmin|m.10430 Bole|XP_014087315.1 Btry|M.56425_R0 Bzon|m.53784 Ccap|XP_012159745.1
orth7203: Afra|m.43522 Aobl|m.2884 Asus|M.43522_R0 Bcor|m.36434 Bcur|XP_011180392.1 Bdor|XP_011199023.1 Blat|m.60625 Bole|XP_014087340.1 Btry|M.60625_R0 Bzon|m.35933 Ccap|XP_004531402.1
orth7204: Afra|m.43571 Aobl|m.8650 Bcor|m.38178 Bcur|XP_011183407.1 Bdor|XP_011206376.1 Bjar|m.5304 Blat|m.36737 Bole|XP_014086046.1 Btry|M.36737_R0 Bzon|m.53676 Ccap|XP_004523994.1
orth7205: Afra|m.43584 Asus|M.43584_R0 Bcor|m.4808 Bcur|XP_011189551.1 Bdor|XP_011213953.1 Blat|m.33803 Bmin|m.12565 Bole|XP_014091003.1 Btry|M.33803_R0 Bzon|m.21026 Ccap|XP_004536256.1
orth7206: Afra|m.43611 Aobl|m.23586 Asus|M.43611_R0 Bcor|m.28520 Bcur|XP_011195025.1 Bdor|XP_011200001.1 Blat|m.38947 Bole|XP_014099838.1 Btry|M.38950_R0 Bzon|m.54443 Ccap|XP_004524782.1
orth7207: Afra|m.43618 Aobl|m.22026 Asus|M.43618_R0 Bcor|m.28985 Bcur|XP_011180819.1 Bdor|XP_011209053.1 Blat|m.5259 Bole|XP_014095402.1 Btry|M.5259_R0 Bzon|m.36693 Ccap|XP_004534537.1
orth7211: Afra|m.43735 Asus|M.43734_R0 Bcor|m.51016 Bcur|XP_011177993.1 Bdor|XP_011203338.1 Blat|m.402 Bmin|m.7788 Bole|XP_014102757.1 Btry|M.401_R0 Bzon|m.3556 Ccap|XP_004520736.1
orth7212: Afra|m.43763 Asus|M.43763_R0 Bcor|m.376 Bcur|XP_011191094.1 Bdor|XP_011202327.1 Blat|m.35417 Bmin|m.8155 Bole|XP_014102444.1 Btry|M.35417_R0 Bzon|m.50435 Ccap|XP_004518864.1
orth7213: Afra|m.43765 Asus|M.43765_R0 Bcor|m.12747 Bcur|XP_011194010.1 Bdor|XP_011206790.1 Blat|m.41477 Bmin|m.5444 Bole|XP_014094582.1 Btry|M.41477_R0 Bzon|m.54378 Ccap|XP_004536372.1
orth7214: Afra|m.4379 Aobl|m.5502 Asus|M.4379_R0 Bcor|m.29587 Bcur|XP_011184443.1 Bdor|XP_011206021.1 Blat|m.23892 Bole|XP_014091977.1 Btry|M.23892_R0 Bzon|m.7368 Ccap|XP_004534668.1
